person,task,completed
Suki,KNN classifier ,
Suki,Logistic regression ,
Suki,Perceptron ,
Suki,Single layer perceptron ,
Suki,Multi layer perceptron ,
Suki,Support Vector Machines - Linear ,
Suki,Non linear SVM ,
Suki,Metrics Error Correction. ,
Suki,Clustering basics - (Partitioned, Hierarchical and Density based) ,
Suki,K Means clustering ,
Suki,K Mode clustering ,
Suki,Self organizing maps ,
Suki,Expectation maximization ,
Suki,Principal Component Analysis ,
Suki,Kernel PCA ,
Suki,tSNE t distributed stochastic neighbor embedding ,
Suki,Metrics - Error Correction. ,
Suki,Bias Variance Tradeoff ,
Suki,Bagging and boosting - Random forests ,
Suki,Adaboost ,
Suki,XG boost - inclusive ,
Suki,Metrics - Error Correction ,
Suj,KNN classifier ,
Suj,Logistic regression ,
Suj,Perceptron ,
Suj,Single layer perceptron ,
Suj,Multi layer perceptron ,
Suj,Support Vector Machines - Linear ,
Suj,Non linear SVM ,
Suj,Metrics Error Correction. ,
Suj,Clustering basics - (Partitioned, Hierarchical and Density based) ,
Suj,K Means clustering ,
Suj,K Mode clustering ,
Suj,Self organizing maps ,
Suj,Expectation maximization ,
Suj,Principal Component Analysis ,
Suj,Kernel PCA ,
Suj,tSNE t distributed stochastic neighbor embedding ,
Suj,Metrics - Error Correction. ,
Suj,Bias Variance Tradeoff ,
Suj,Bagging and boosting - Random forests ,
Suj,Adaboost ,
Suj,XG boost - inclusive ,
Suj,Metrics - Error Correction ,
